City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Folkestone,51.0833,1.1833,43.38,70,75,18.41,GB,1619072137
Punta Arenas,-53.15,-70.9167,41.0,87,90,8.05,CL,1619071844
Buraidah,26.326,43.975,86.0,25,0,3.44,SA,1619072137
Lagoa,39.05,-27.9833,59.81,91,57,31.03,PT,1619072138
Tabuk,17.4189,121.4443,86.67,58,100,10.87,PH,1619072138
Hilo,19.7297,-155.09,70.5,73,75,6.22,US,1619072139
Jamestown,42.097,-79.2353,26.6,68,90,14.97,US,1619072139
Port Alfred,-33.5906,26.891,68.13,82,100,11.9,ZA,1619072140
‘Ewa Beach,21.3156,-158.0072,75.4,64,1,5.75,US,1619072140
Port Keats,-14.25,129.55,95.25,36,63,1.74,AU,1619072140
Nanortalik,60.1432,-45.2371,36.27,75,100,4.18,GL,1619072141
Ilulissat,69.2167,-51.1,28.4,40,35,18.41,GL,1619072141
Bhadrāchalam,17.6667,80.8833,98.17,34,80,5.23,IN,1619072142
Rikitea,-23.1203,-134.9692,77.38,75,100,15.01,PF,1619072142
Bengkulu,-3.8004,102.2655,81.54,79,70,4.88,ID,1619072142
Yellowknife,62.456,-114.3525,17.29,62,90,4.61,CA,1619071991
Atuona,-9.8,-139.0333,80.37,77,68,19.8,PF,1619072143
Bluff,-46.6,168.3333,53.01,84,100,5.28,NZ,1619072143
Kandi,11.1342,2.9386,78.51,64,95,4.41,BJ,1619072144
New Norfolk,-42.7826,147.0587,53.69,61,86,4.0,AU,1619072144
Port Macquarie,-31.4333,152.9167,68.92,53,2,4.63,AU,1619072144
Bilma,18.6853,12.9164,82.2,15,26,7.83,NE,1619071999
Umarizal,-5.9906,-37.8144,72.45,95,82,2.33,BR,1619072145
São Filipe,14.8961,-24.4956,71.51,71,93,9.95,CV,1619072145
Tasiilaq,65.6145,-37.6368,23.0,68,90,21.85,GL,1619072146
Rochegda,62.8,43.25,38.43,91,100,9.57,RU,1619072146
Port Blair,11.6667,92.75,87.8,79,40,5.75,IN,1619072147
Mananjary,-21.2167,48.3333,75.4,80,91,4.94,MG,1619072147
Ushuaia,-54.8,-68.3,42.8,70,75,2.3,AR,1619071983
Ruska Poliana,49.417,31.9201,53.58,61,13,10.89,UA,1619072148
Carnarvon,-24.8667,113.6333,84.2,48,95,10.36,AU,1619072148
Hermanus,-34.4187,19.2345,68.0,83,87,11.01,ZA,1619072119
Bethel,41.3712,-73.414,33.69,66,9,1.99,US,1619072149
Hong Kong,22.2855,114.1577,79.83,54,20,9.22,HK,1619072149
Champerico,14.3,-91.9167,64.44,96,98,0.76,GT,1619072150
Leshukonskoye,64.8989,45.7622,37.87,95,100,10.25,RU,1619072150
Mikkeli,61.6886,27.2723,38.05,93,20,3.44,FI,1619072121
Lincoln,40.8,-96.667,31.91,64,1,3.44,US,1619071903
Chokurdakh,70.6333,147.9167,15.12,90,100,11.77,RU,1619072151
Albany,42.6001,-73.9662,31.62,69,63,9.75,US,1619072151
Dubbo,-32.25,148.6167,62.6,29,40,16.11,AU,1619072152
Sinnamary,5.3833,-52.95,76.6,88,96,10.96,GF,1619072152
San Andrés,12.5847,-81.7006,80.6,74,40,12.66,CO,1619072152
Tiksi,71.6872,128.8694,14.4,76,92,11.12,RU,1619072153
Busselton,-33.65,115.3333,68.88,65,99,1.99,AU,1619072153
Camden,39.7835,-74.9663,38.32,56,37,3.0,US,1619072154
Ouadda,8.0777,22.4007,75.58,67,65,6.62,CF,1619072154
Port Elizabeth,-33.918,25.5701,62.6,100,40,3.44,ZA,1619072155
Castro,-24.7911,-50.0119,56.44,91,91,6.64,BR,1619072155
Lima,-12.0432,-77.0282,64.49,88,90,8.05,PE,1619072038
Adré,13.4667,22.2,83.55,10,95,15.14,TD,1619072156
Ostrovnoy,68.0531,39.5131,36.0,99,100,8.95,RU,1619072156
Saint Paul Harbor,57.79,-152.4072,42.8,81,90,19.57,US,1619072157
Nikolskoye,59.7035,30.7861,39.07,93,75,6.71,RU,1619072157
Mar del Plata,-38.0023,-57.5575,67.35,82,0,16.11,AR,1619071924
San Policarpo,12.1791,125.5072,82.17,83,57,11.03,PH,1619072157
Nishihara,26.1842,127.7558,70.18,94,90,17.27,JP,1619072158
Cape Town,-33.9258,18.4232,57.88,94,90,8.05,ZA,1619072101
Mtwara,-10.2667,40.1833,77.0,83,20,20.71,TZ,1619072158
Hithadhoo,-0.6,73.0833,82.98,69,32,6.13,MV,1619072159
Beyneu,45.3167,55.2,61.5,9,100,27.18,KZ,1619072159
Novo Aripuanã,-5.1206,-60.3797,72.07,98,100,0.78,BR,1619072160
Mataura,-46.1927,168.8643,53.01,84,99,2.3,NZ,1619072160
Saldanha,-33.0117,17.9442,53.6,94,6,5.3,ZA,1619072161
Norrtälje,59.758,18.705,36.75,93,90,12.66,SE,1619072161
Iqaluit,63.7506,-68.5145,14.0,79,90,13.8,CA,1619072162
Upernavik,72.7868,-56.1549,15.28,68,100,3.69,GL,1619072162
Khatanga,71.9667,102.5,28.69,93,100,15.73,RU,1619072162
Jonuta,18.0833,-92.1333,72.82,96,26,0.92,MX,1619072163
Asunción,-25.3007,-57.6359,73.2,64,0,6.91,PY,1619072163
Ancud,-41.8697,-73.8203,39.25,100,90,6.22,CL,1619072164
Saint Anthony,45.0205,-93.218,36.99,60,90,4.61,US,1619072164
Avarua,-21.2078,-159.775,78.8,78,75,13.8,CK,1619072164
Marfino,55.7028,37.3822,47.5,81,75,11.18,RU,1619072165
Faya,18.3851,42.4509,74.3,12,0,4.61,SA,1619072165
Tombouctou,20.0,-3.0,80.13,9,25,10.31,ML,1619072166
Naze,28.3667,129.4833,73.4,68,75,19.57,JP,1619072166
Denpasar,-8.65,115.2167,86.0,66,20,6.91,ID,1619071876
Dikson,73.5069,80.5464,28.2,89,100,16.33,RU,1619072167
Manzhouli,49.6,117.4333,64.71,28,70,11.25,CN,1619072167
Ponta do Sol,32.6667,-17.1,58.86,87,66,1.99,PT,1619072168
Kavaratti,10.5669,72.642,83.97,62,27,3.85,IN,1619072168
Imbituba,-28.24,-48.6703,66.2,77,0,1.14,BR,1619072169
Cuamba,-14.8031,36.5372,71.49,80,76,5.12,MZ,1619072169
Kapaa,22.0752,-159.319,69.31,94,1,5.75,US,1619072169
Butaritari,3.0707,172.7902,81.84,78,100,12.39,KI,1619072170
Saint-Philippe,-21.3585,55.7679,75.18,83,75,19.57,RE,1619072170
Vanimo,-2.6741,141.3028,84.13,73,100,8.59,PG,1619072171
Pierre,44.3683,-100.351,36.18,48,1,10.36,US,1619072109
Coolum Beach,-26.5333,153.1,70.0,67,100,1.01,AU,1619072171
Tommot,58.9564,126.2925,32.2,67,100,11.21,RU,1619072172
Cap Malheureux,-19.9842,57.6142,82.0,77,97,5.99,MU,1619072172
Grottaglie,40.5392,17.4337,56.14,94,75,12.66,IT,1619072172
Korla,41.7597,86.1469,63.7,28,100,28.07,CN,1619072173
Colares,38.7992,-9.4469,56.55,94,20,2.3,PT,1619072173
Samagaltay,50.6022,95.0047,33.08,44,100,12.5,RU,1619072174
Klaksvík,62.2266,-6.589,41.0,87,75,5.75,FO,1619072174
Ballina,-28.8667,153.5667,66.27,49,100,11.5,AU,1619072174
Havelock,34.8791,-76.9013,48.18,40,1,20.71,US,1619072175
Heihe,50.2441,127.4902,77.0,19,20,11.18,CN,1619072176
Puerto Ayora,-0.7393,-90.3518,75.99,98,58,3.0,EC,1619072176
Saint-Joseph,-21.3667,55.6167,75.27,83,75,19.57,RE,1619072176
Trincomalee,8.5711,81.2335,86.04,66,48,7.92,LK,1619072121
Ginir,7.1333,40.7,65.12,70,92,4.56,ET,1619072177
Vaini,-21.2,-175.2,78.8,89,75,4.61,TO,1619072177
Pangody,65.85,74.4859,33.17,100,100,15.37,RU,1619072178
Ribeira Grande,38.5167,-28.7,62.6,88,75,29.93,PT,1619072178
Labuhan,-6.8844,112.2051,85.87,58,57,3.38,ID,1619072179
São José da Coroa Grande,-8.8978,-35.1478,77.23,84,69,4.56,BR,1619072179
Manta,-0.95,-80.7333,75.2,88,40,4.61,EC,1619072179
Kumul,42.8,93.45,72.68,20,100,5.32,CN,1619072180
Longyearbyen,78.2186,15.6401,19.4,58,40,8.05,SJ,1619072180
Tura,25.5198,90.2201,93.31,33,100,5.01,IN,1619072123
Pingliang,35.5392,106.6861,67.82,48,14,16.89,CN,1619072181
Norman Wells,65.282,-126.8329,30.2,43,75,16.11,CA,1619072181
Huarmey,-10.0681,-78.1522,68.05,88,13,8.77,PE,1619072182
Beringovskiy,63.05,179.3167,27.75,82,80,4.43,RU,1619072182
Kyshtovka,56.555,76.6271,35.64,47,5,6.38,RU,1619072183
Port Hedland,-20.3167,118.5667,95.0,8,3,17.27,AU,1619072183
Maţāy,28.419,30.7792,67.84,44,0,24.16,EG,1619072183
Ocumare del Tuy,10.1165,-66.7761,71.83,78,40,6.91,VE,1619071981
Barrow,71.2906,-156.7887,19.4,86,1,9.22,US,1619072184
Provideniya,64.3833,-173.3,35.6,60,0,6.71,RU,1619071938
Auxerre,47.8,3.5667,41.95,95,7,5.44,FR,1619072185
Grand Gaube,-20.0064,57.6608,82.0,77,98,5.99,MU,1619072185
Nakło nad Notecią,53.1421,17.6018,41.32,65,40,18.41,PL,1619072185
Cidreira,-30.1811,-50.2056,70.38,60,81,14.65,BR,1619072186
Pangnirtung,66.1451,-65.7125,16.47,95,98,2.62,CA,1619072186
Bowen,-20.0167,148.2333,73.4,88,90,5.75,AU,1619072187
Caravelas,-17.7125,-39.2481,72.32,95,100,3.2,BR,1619072187
Katsuura,35.1333,140.3,76.73,15,75,24.16,JP,1619072187
Amberley,39.2048,-84.428,31.26,94,44,4.05,US,1619072188
Caborca,30.5838,-111.101,64.99,30,19,1.01,MX,1619072188
Haverfordwest,51.8017,-4.9691,45.0,75,7,3.0,GB,1619072189
Lorengau,-2.0226,147.2712,83.86,77,96,7.47,PG,1619072189
Havøysund,70.9963,24.6622,34.75,65,40,10.36,NO,1619072190
Pevek,69.7008,170.3133,28.98,73,48,14.29,RU,1619072190
Yate,51.5407,-2.4184,34.56,80,6,1.99,GB,1619072179
Plácido de Castro,-10.3353,-67.1856,71.42,98,19,2.42,BR,1619072191
Maniitsoq,65.4167,-52.9,21.15,64,6,5.5,GL,1619072191
Abu Dhabi,24.4667,54.3667,93.76,29,0,2.3,AE,1619072191
Lüderitz,-26.6481,15.1594,69.26,58,39,6.76,NA,1619072192
Cabo San Lucas,22.8909,-109.9124,67.01,38,96,9.82,MX,1619072192
Khotyn,48.4833,26.5,51.01,58,0,5.37,UA,1619072193
Genhe,50.7833,121.5167,56.44,49,100,8.75,CN,1619072193
Vao,-22.6667,167.4833,75.13,75,9,3.58,NC,1619072193
Krasnokamensk,50.0979,118.0369,62.55,29,76,11.92,RU,1619072194
Severo-Kuril'sk,50.6789,156.125,35.4,97,100,12.86,RU,1619072194
East London,-33.0153,27.9116,62.6,88,20,5.75,ZA,1619072195
Airai,-8.9266,125.4092,70.41,71,70,1.52,TL,1619072195
Buala,-8.145,159.5921,83.37,76,97,4.0,SB,1619072195
Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.2,75,75,13.42,RU,1619072196
Bettendorf,41.5245,-90.5157,30.83,69,1,3.44,US,1619072196
Bedēsa,8.9,40.7833,73.35,51,98,4.16,ET,1619072197
Arraial do Cabo,-22.9661,-42.0278,72.09,79,4,6.53,BR,1619072197
Jackson,42.4165,-122.8345,52.95,31,1,3.44,US,1619072198
Bredasdorp,-34.5322,20.0403,62.6,94,100,12.66,ZA,1619072198
Lompoc,34.6391,-120.4579,48.2,82,73,4.61,US,1619072199
Libreville,0.3925,9.4537,77.0,94,20,3.44,GA,1619072005
Ponta Delgada,37.7333,-25.6667,62.6,82,40,32.21,PT,1619072199
Lebu,-37.6167,-73.65,51.26,80,23,8.01,CL,1619072199
Maragogi,-9.0122,-35.2225,76.6,85,78,4.94,BR,1619072200
Morgan City,29.6994,-91.2068,52.84,71,1,8.05,US,1619072200
Price,39.5994,-110.8107,44.6,31,90,14.97,US,1619072201
Bandarbeyla,9.4942,50.8122,85.21,67,21,7.63,SO,1619072201
San Quintín,30.4833,-115.95,56.91,71,22,11.9,MX,1619072201
Malanje,-9.5402,16.341,64.22,96,100,1.95,AO,1619072202
Coquimbo,-29.9533,-71.3436,53.6,94,0,2.3,CL,1619072202
Marawi,7.9986,124.2928,88.0,68,40,1.99,PH,1619072203
Cherskiy,68.75,161.3,33.39,84,99,17.76,RU,1619072203
Portland,45.5234,-122.6762,56.01,62,40,6.91,US,1619071598
Flinders,-34.5833,150.8552,65.75,43,16,7.0,AU,1619072204
Flin Flon,54.7682,-101.865,35.13,80,7,6.02,CA,1619072204
Mogadishu,2.0371,45.3438,82.4,65,75,5.75,SO,1619072177
Touros,-5.1989,-35.4608,75.2,100,40,2.3,BR,1619072204
Viedma,-40.8135,-62.9967,64.94,82,100,18.23,AR,1619072205
Kruisfontein,-34.0033,24.7314,63.0,96,98,1.01,ZA,1619072205
Altay,47.8667,88.1167,36.63,48,71,7.94,CN,1619072206
Hobart,-42.8794,147.3294,55.78,44,75,17.27,AU,1619072206
Saint-Augustin,51.226,-58.6502,34.12,93,93,4.16,CA,1619072206
Bāgepalli,13.7847,77.7931,86.0,45,20,6.91,IN,1619072207
Bowral,-34.4667,150.4167,65.03,43,30,7.0,AU,1619072207
Arrifes,37.7667,-25.7,62.6,82,40,32.21,PT,1619072207
Altus,34.6381,-99.334,51.8,43,90,6.91,US,1619072208
Codrington,-38.2667,141.9667,59.11,67,79,15.82,AU,1619072208
Kolokani,13.5728,-8.0339,82.4,49,89,10.56,ML,1619072209
Fairbanks,64.8378,-147.7164,42.8,36,1,5.75,US,1619072209
Laguna,38.421,-121.4238,52.84,76,1,4.61,US,1619071963
Narsaq,60.9167,-46.05,46.4,29,75,27.63,GL,1619072210
Pāsighāt,28.0667,95.3333,87.42,36,85,4.52,IN,1619072210
Sitka,57.0531,-135.33,44.6,49,1,5.59,US,1619072179
Phan Thiet,10.9333,108.1,85.3,69,78,7.76,VN,1619071914
Matagami,49.7502,-77.6328,6.8,92,1,2.3,CA,1619072211
Kununurra,-15.7667,128.7333,96.8,26,51,10.36,AU,1619072211
George Town,5.4112,100.3354,81.72,78,20,4.61,MY,1619072120
Boende,-0.2167,20.8667,73.63,76,89,3.11,CD,1619072212
Polunochnoye,60.8697,60.4153,52.79,43,99,11.61,RU,1619072212
Caratinga,-19.7897,-42.1392,62.6,100,0,3.44,BR,1619072212
Mossamedes,-15.1961,12.1522,79.84,71,49,2.98,AO,1619072049
Tuktoyaktuk,69.4541,-133.0374,6.8,85,20,16.11,CA,1619072213
Khandyga,62.6667,135.6,29.52,68,99,3.24,RU,1619072213
North Bend,43.4065,-124.2243,48.69,87,90,9.22,US,1619071941
Tateyama,34.9833,139.8667,70.18,45,0,17.27,JP,1619072214
Tornio,65.8481,24.1466,37.4,81,0,13.8,FI,1619072214
Saskylakh,71.9167,114.0833,16.99,87,97,15.08,RU,1619072215
Dunedin,-45.8742,170.5036,55.99,86,52,1.01,NZ,1619071952
Kamaishi,39.2667,141.8833,62.6,31,40,21.85,JP,1619072216
Baykit,61.67,96.37,36.45,76,53,7.67,RU,1619072216
Saint George,37.1041,-113.5841,60.49,20,1,5.75,US,1619072216
Oranjestad,12.524,-70.027,80.01,75,45,7.0,AW,1619072071
Borba,-4.3878,-59.5939,71.64,99,81,0.72,BR,1619072217
Meridian,43.6121,-116.3915,49.75,28,1,2.66,US,1619072118
Tornabé,15.75,-87.55,80.01,89,27,1.99,HN,1619072218
Mareeba,-17.0,145.4333,75.4,94,90,8.05,AU,1619072218
Sørland,67.667,12.6934,36.27,60,75,8.05,NO,1619072218
Guerrero Negro,27.9769,-114.0611,57.4,74,62,12.75,MX,1619072219
Araouane,18.9048,-3.5265,80.6,10,11,10.09,ML,1619072219
Lavrentiya,65.5833,-171.0,26.02,75,68,5.01,RU,1619071938
Vaitape,-16.5167,-151.75,81.77,72,76,18.45,PF,1619072220
Torbay,47.6666,-52.7314,35.78,93,20,11.5,CA,1619072220
Aberdeen,57.1437,-2.0981,32.27,93,97,2.3,GB,1619072221
Bandar,2.05,99.75,83.35,70,100,1.5,ID,1619072222
Mehamn,71.0357,27.8492,36.03,87,75,12.66,NO,1619072222
Guarujá,-23.9931,-46.2564,69.01,26,97,5.61,BR,1619072168
Pedasí,7.5333,-80.0333,79.56,81,53,12.24,PA,1619072223
Lakes Entrance,-37.8811,147.981,62.01,55,50,3.0,AU,1619072223
Thompson,55.7435,-97.8558,37.4,60,1,2.3,CA,1619072224
Liverpool,53.4106,-2.9779,38.03,87,17,5.75,GB,1619071969
Hofn,64.2539,-15.2082,38.86,56,100,6.58,IS,1619072224
Altamira,-3.2033,-52.2064,71.02,96,84,0.87,BR,1619072225
Carhuamayo,-10.9167,-76.0333,32.56,93,95,1.1,PE,1619072225
Assaí,-23.3733,-50.8414,62.6,82,0,1.14,BR,1619072226
Maceió,-9.6658,-35.7353,75.2,94,0,4.61,BR,1619072226
Cardston,49.2,-113.3019,46.06,34,21,12.66,CA,1619072227
Brae,60.3964,-1.353,42.8,75,40,12.66,GB,1619071938
Souillac,-20.5167,57.5167,77.0,94,75,4.61,MU,1619072227
Port-Gentil,-0.7193,8.7815,80.6,94,90,4.61,GA,1619072056
Atar,20.5169,-13.0499,72.19,23,0,10.13,MR,1619072228
Luganville,-15.5333,167.1667,83.86,75,43,6.22,VU,1619072228
Ulladulla,-35.35,150.4667,61.18,30,0,14.97,AU,1619072228
Tual,-5.6667,132.75,83.66,70,54,4.99,ID,1619072229
Quatre Cocos,-20.2078,57.7625,79.59,94,75,4.61,MU,1619072229
Kamphaeng Phet,16.25,99.5,101.73,31,18,1.83,TH,1619072230
Kismayo,-0.3582,42.5454,84.65,70,98,8.97,SO,1619072230
Kahului,20.8947,-156.47,71.31,83,1,8.05,US,1619072231
Henties Bay,-22.116,14.2845,69.73,68,80,5.95,NA,1619072231
Nemuro,43.3236,145.575,39.2,70,20,14.97,JP,1619072058
Mahébourg,-20.4081,57.7,77.0,94,75,4.61,MU,1619072232
Yerbogachën,61.2767,108.0108,32.58,64,80,11.45,RU,1619072232
Great Falls,47.5002,-111.3008,36.27,55,1,10.36,US,1619071944
São João da Barra,-21.6403,-41.0511,68.29,91,0,11.01,BR,1619072233
Terme,41.2092,36.9739,56.75,76,40,3.44,TR,1619072233
La Sarre,48.8002,-79.1996,22.66,73,41,4.05,CA,1619072233
Corinth,37.9407,22.9573,61.0,43,41,1.99,GR,1619072234
Camalú,30.85,-116.0667,54.0,57,13,1.99,MX,1619072235
College,64.8569,-147.8028,42.8,36,1,5.75,US,1619072235
Kavieng,-2.5744,150.7967,83.84,72,90,7.72,PG,1619072235
Arlit,18.7369,7.3853,82.96,10,72,8.63,NE,1619072236
Mount Gambier,-37.8333,140.7667,59.0,77,75,16.11,AU,1619072236
Berezovyy,51.6667,135.7,67.6,40,20,8.84,RU,1619072237
Carinhanha,-14.3047,-43.765,67.62,97,19,1.3,BR,1619072237
Mozarlândia,-14.7447,-50.5706,68.59,61,0,3.6,BR,1619072238
Yulara,-25.2406,130.9889,78.8,17,0,8.05,AU,1619072238
Osinovo,55.8809,48.881,39.2,93,90,11.18,RU,1619072238
Kafanchan,9.5833,8.3,73.26,77,100,1.92,NG,1619072239
Kalianget,-7.05,113.9333,83.79,60,60,8.41,ID,1619072239
Honningsvåg,70.9821,25.9704,37.4,65,40,10.36,NO,1619072240
Retiro,-34.5833,-58.3833,69.03,83,0,10.36,AR,1619072240
Alofi,-19.0595,-169.9187,78.8,94,96,4.61,NU,1619072240
Lázaro Cárdenas,17.9583,-102.2,71.87,72,12,3.94,MX,1619072241
Padang,-0.9492,100.3543,84.2,70,20,4.61,ID,1619072241
Slave Lake,55.2834,-114.769,30.2,86,90,11.5,CA,1619072242
Marsh Harbour,26.5412,-77.0636,76.23,79,67,7.34,BS,1619072242
Bismarck,46.8083,-100.7837,37.87,44,1,6.6,US,1619072242
Sobolevo,54.4299,31.8996,48.13,74,65,10.6,RU,1619072243
Luancheng,37.8792,114.6517,64.4,59,75,2.24,CN,1619072243
Chui,-33.6971,-53.4616,65.28,77,1,12.41,UY,1619072244
Isangel,-19.55,169.2667,84.2,79,20,9.13,VU,1619072244
